,32,42,169,1234,1988,mean,std
result/krr_2020_07_21/,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_test_R2,0.8423150192006692,0.8033106143195992,0.8298119208573804,0.8252475921941347,0.8414005096013317,0.8284171312346231,0.01293604789696349
H_test_MAE,0.3405419981486057,0.3615241028621295,0.3517569200234135,0.35365028688145206,0.33751321889857266,0.34899730536283463,0.008057737768561906
H_test_RMSE,0.4849216862927088,0.5205498378647301,0.4964683841706755,0.4878733330468484,0.4604239860503147,0.49004744548505547,0.017702042799075234
Na_test_R2,0.6958134404528142,0.6984938560794371,0.7124637563290942,0.6740437839162957,0.7271225760301145,0.7015874825615512,0.016185897934414824
Na_test_MAE,0.4522665462721801,0.4569922624038296,0.4351707348018571,0.472844387453332,0.426147006630127,0.4486841875122652,0.015033909394828961
Na_test_RMSE,0.5988261073305546,0.5961819167649908,0.5822064510251377,0.6198838898022119,0.56717165590768,0.5928540041661151,0.01607435398354791
result/svr_2020_07_21/,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_test_R2,0.8358470783890545,0.7936303854879859,0.8219598700176917,0.8181347565645134,0.8368486515814897,0.8212841484081471,0.014314552973487249
H_test_MAE,0.33990603427204197,0.3593332611085508,0.3576042971189535,0.3546016920745556,0.33643976768535816,0.349577010451892,0.008669718481568897
H_test_RMSE,0.4947670284882688,0.5332056345098473,0.5077921470348299,0.4977031052316092,0.4669844080751026,0.5000904646679316,0.01951913516656689
Na_test_R2,0.6197735030352691,0.6281236110881472,0.6207538353429333,0.5894645589829427,0.6675616734427573,0.6251354363784098,0.022837378098594367
Na_test_MAE,0.5171936302362221,0.5117392789645302,0.5108298702287152,0.5402072193918339,0.4810164828966848,0.5121972963435972,0.017242592142932358
Na_test_RMSE,0.6695020405252616,0.6621098036026479,0.6686383999239021,0.6956744340671306,0.6260171910646201,0.6643883738367125,0.02041473905101249
result/dnn_2020_07_21/,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H_test_R2,0.7966937635015457,0.7214005359227562,0.7753369928955954,0.7562774533206063,0.7818868421930963,0.7663191175667199,0.023681248696289122
H_test_MAE,0.41741843978954507,0.4452902184810446,0.4123242458582345,0.42663715837840294,0.4136817161023164,0.4230703557219087,0.011120656208459168
H_test_RMSE,0.5506197595682918,0.6195295014510459,0.5704174629996908,0.5761603262786469,0.5399430797069236,0.5713340260009196,0.025038002646124997
Na_test_R2,0.684283199801236,0.6858853099646234,0.6871777693008694,0.6761714729859529,0.6731206233493101,0.6813276750803983,0.005126286548391171
Na_test_MAE,0.4770499053571848,0.4602938736735531,0.4748006266580393,0.4715958427807629,0.4710845231148928,0.4709649543168866,0.005260280260584109
Na_test_RMSE,0.6100698494997928,0.6085199759758603,0.607266774454251,0.6178574220008386,0.6207610747276189,0.6128950193316722,0.004921043200505774
